"","Parcel_Num","Property_C","Property_S","Inventory_","Zoned_As","Address1","City","Neighborho","Longitude","Latitude","Council_Di","Area_Plann","Square_Foo","Business_I","Community_","Building_N","LA_County_","LA_County1","PIN","County_Ass","County_A_1","coords.x1","coords.x2","optional"
"707",2401011902,"vacant land","Surplus-Undeclared","General Services","A2-1&K","8830 W LA TUNA CANYON RD","SUN VALLEY",NA,-118.32589,34.23429,14,"North Valley",4262.746701,NA,NA,"Vacant Land",2401011902,NA,NA,NA,NA,-118.32589,34.23429,TRUE
"708",6002030903,"vacant land","Owned","General Services",NA,"6316 S WESTERN AVE","LOS ANGELES",NA,-118.3085327,33.9818268,15,"None",1455.68615,"None",NA,NA,6002030903,NA,NA,NA,NA,-118.3085327,33.9818268,TRUE
"709",4128019903,"vacant land","Owned","Airports",NA,"5316 W 99TH ST","LOS ANGELES",NA,-118.3743286,33.9467201,4,"None",6065.576754,"None",NA,NA,4128019903,NA,NA,NA,NA,-118.3743286,33.9467201,TRUE
"710",4128009913,"vacant land","Owned","Airports",NA,"5412 W 93RD ST","LOS ANGELES",NA,-118.3745499,33.9513664,4,"None",6710.885101,"None",NA,NA,4128009913,NA,NA,NA,NA,-118.3745499,33.9513664,TRUE
"711",2401012902,"vacant land","Surplus-Undeclared","General Services","A2-1&K","SMMC LA TUNA CANYON RD","LOS ANGELES",NA,-118.32415,34.23426,14,NA,97937.41311,NA,"Sunland-Tujunga-Lake Vw Ter-Shadow Hills-E La Tuna","Vacant Land",2401012902,NA,NA,NA,NA,-118.32415,34.23426,TRUE
"712",4128019904,"vacant land","Owned","Airports",NA,"5323 W 99TH PL","LOS ANGELES",NA,-118.3741455,33.9463348,4,"None",7174.534522,"None",NA,NA,4128019904,NA,"090B173    35",NA,NA,-118.3741455,33.9463348,TRUE
"713",4128009915,"vacant land","Owned","Airports",NA,"9302 ISIS AVE","LOS ANGELES",NA,-118.375305,33.951339,4,"None",7933.278687,"None",NA,NA,4128009915,NA,NA,NA,NA,-118.375305,33.951339,TRUE
"714",2401022900,"vacant land","Surplus-Undeclared","General Services","A2-1&K","8534 W LA TUNA CANYON RD","SUN VALLEY",NA,-118.32017,34.23554,14,"North Valley",1193.3873,NA,"Sunland-Tujunga-Lake Vw Ter-Shadow Hills-E La Tuna","Vacant Land",2401022900,NA,NA,NA,NA,-118.32017,34.23554,TRUE
"715",4128019905,"vacant land","Owned","Airports",NA,"5328 W 99TH ST","LOS ANGELES",NA,-118.3746872,33.9467201,4,"None",6160.58375,"None",NA,NA,4128019905,NA,"093B173   681",NA,NA,-118.3746872,33.9467201,TRUE
"716",2401022902,"vacant land","Surplus-Undeclared","General Services","A2-1&K","8542 W LA TUNA CANYON RD","SUN VALLEY",NA,-118.32019,34.23542,14,"North Valley",1749.019,NA,"Sunland-Tujunga-Lake Vw Ter-Shadow Hills-E La Tuna","Vacant Land",2401022902,NA,NA,NA,NA,-118.32019,34.23542,TRUE
"717",2401022903,"vacant land","Surplus-Undeclared","General Services","A2-1&K","8548 W LA TUNA CANYON RD","SUN VALLEY",NA,-118.32051,34.23538,14,"North Valley",2270.187,NA,"Sunland-Tujunga-Lake Vw Ter-Shadow Hills-E La Tuna","Vacant Land",2401022903,NA,NA,NA,NA,-118.32051,34.23538,TRUE
"718",4128019906,"vacant land","Owned","Airports",NA,"5322 W 99TH ST","LOS ANGELES",NA,-118.3745041,33.9467239,4,"None",5940.593134,"None",NA,NA,4128019906,NA,"093B173   680",NA,NA,-118.3745041,33.9467239,TRUE
"719",2401025902,"vacant land","Surplus-Undeclared","General Services","A2-1&K","8644 W LA TUNA CANYON RD","SUN VALLEY",NA,-118.32206,34.23643,14,"North Valley",1873.7522,NA,"Sunland-Tujunga-Lake Vw Ter-Shadow Hills-E La Tuna","Vacant Land",2401025902,NA,NA,NA,NA,-118.32206,34.23643,TRUE
"720",2401025903,"vacant land","Surplus-Undeclared","General Services","A2-1&K","8634 W LA TUNA CANYON RD","SUN VALLEY",NA,-118.32181,34.2362,14,"North Valley",1893.80015,NA,"Sunland-Tujunga-Lake Vw Ter-Shadow Hills-E La Tuna","Vacant Land",2401025903,NA,NA,NA,NA,-118.32181,34.2362,TRUE
"721",4128019907,"vacant land","Owned","Airports",NA,"5301 W 99TH PL","LOS ANGELES",NA,-118.373596,33.946411,4,"None",8324.63048,"None",NA,NA,4128019907,NA,"090B173    26",NA,NA,-118.373596,33.946411,TRUE
"722",6065034912,"vacant land","Owned","General Services",NA,"10616 GRAHAM AVE","LOS ANGELES",NA,-118.2424316,33.9393501,8,"None",3130.800101,"None",NA,NA,6065034912,NA,"090A213   207",NA,NA,-118.2424316,33.9393501,TRUE
"723",4128019908,"vacant land","Owned","Airports",NA,"5338 W 99TH ST","LOS ANGELES",NA,-118.3750534,33.9467201,4,"None",6160.02375,"None",NA,NA,4128019908,NA,NA,NA,NA,-118.3750534,33.9467201,TRUE
"724",6065036900,"vacant land","Surplus-Undeclared","General Services","R2-1","1831 E 108TH ST","LOS ANGELES",NA,-118.239624,33.9380493,8,"None",3564.6977,"None",NA,"Vacant Land",6065036900,NA,NA,NA,NA,-118.239624,33.9380493,TRUE
"725",4128019909,"vacant land","Owned","Airports",NA,"5351 W 99TH PL","LOS ANGELES",NA,-118.3750381,33.9463387,4,"None",7022.715201,"None",NA,NA,4128019909,NA,NA,NA,NA,-118.3750381,33.9463387,TRUE
"726",4128019910,"vacant land","Owned","Airports",NA,"5332 W 99TH ST","LOS ANGELES",NA,-118.3748703,33.9467201,4,"None",6160.268766,"None",NA,NA,4128019910,NA,NA,NA,NA,-118.3748703,33.9467201,TRUE
"727",4128019911,"vacant land","Owned","Airports",NA,"5343 W 99TH PL","LOS ANGELES",NA,-118.3748627,33.9463387,4,"None",7023.36585,"None",NA,NA,4128019911,NA,NA,NA,NA,-118.3748627,33.9463387,TRUE
"728",4128020900,"vacant land","Owned","Airports",NA,"5344 W 99TH ST","LOS ANGELES",NA,-118.3752365,33.9467201,4,"None",5829.987476,"None",NA,NA,4128020900,NA,NA,NA,NA,-118.3752365,33.9467201,TRUE
